id,name,ticker,currentprice,change,lastprice,display,percent
1,L&TFH,L&TFH,50,-30,80,TRUE,-38
2,PEL,PEL,1990,170,1820,TRUE,9
3,ADANIPORTS,ADANIPORTS,420,50,370,TRUE,14
4,HINDPETRO,HINDPETRO,250,10,240,TRUE,4
5,HDFC,HDFC,2150,60,2090,TRUE,3
6,BAJFINANCE,BAJFINANCE,330,0,330,TRUE,0
7,YESBANK,YESBANK,60,0,60,TRUE,0
8,ULTRACEMCO,ULTRACEMCO,410,20,390,TRUE,5
9,ASHOKLEY,ASHOKLEY,60,-10,70,TRUE,-14
10,DLF,DLF,160,0,160,TRUE,0
11,ICICIBANK,ICICIBANK,390,-20,410,TRUE,-5
12,HDFCBANK,HDFCBANK,2260,60,2200,TRUE,3
13,BAJAJFINSV,BAJAJFINSV,720,10,710,TRUE,1
14,BHEL,BHEL,35,-15,50,TRUE,-30
15,LT,LT,1340,130,1210,TRUE,11
16,DMART,DMART,1530,40,1490,TRUE,3
17,ABB,ABB,1390,30,1360,TRUE,2
18,ZEEL,ZEEL,360,10,350,TRUE,3
19,ICICIPRULI,ICICIPRULI,400,10,390,TRUE,3
20,IBULHSGFIN,IBULHSGFIN,480,-20,500,TRUE,-4
21,BOSCHLTD,BOSCHLTD,1180,-70,1250,TRUE,-6
22,UBL,UBL,1150,-170,1320,TRUE,-13
23,DIVISLAB,DIVISLAB,1630,50,1580,TRUE,3
24,HDFCAMC,HDFCAMC,2490,250,2240,TRUE,11
25,SBIN,SBIN,280,80,200,TRUE,40
26,KOTAKBANK,KOTAKBANK,1520,20,1500,TRUE,1
27,PETRONET,PETRONET,250,70,180,TRUE,39
28,AXISBANK,AXISBANK,580,-100,680,TRUE,-15
29,AMBUJACEM,AMBUJACEM,200,0,200,TRUE,0
30,NIACL,NIACL,140,30,110,TRUE,27
31,TITAN,TITAN,1000,-100,1100,TRUE,-9
32,ITC,ITC,260,20,240,TRUE,8
33,INDUSINDBK,INDUSINDBK,1340,-10,1350,TRUE,-1
34,BRITANNIA,BRITANNIA,250,0,250,TRUE,0
35,IOC,IOC,130,10,120,TRUE,8
36,SIEMENS,SIEMENS,1280,110,1170,TRUE,9
37,INDIGO,INDIGO,1680,10,1670,TRUE,1
38,DABUR,DABUR,430,0,430,TRUE,0
39,ICICIGI,ICICIGI,1210,20,1190,TRUE,2
40,BANDHANBNK,BANDHANBNK,470,90,380,TRUE,24
41,GRASIM,GRASIM,740,-80,820,TRUE,-10
42,GICRE,GICRE,170,0,170,TRUE,0
43,LUPIN,LUPIN,760,10,750,TRUE,1
44,MRF,MRF,590,10,580,TRUE,2
45,ACC,ACC,1500,10,1490,TRUE,1
46,SAIL,SAIL,20,-10,30,TRUE,-33
47,M&M,M&M,540,-10,550,TRUE,-2
48,PIDILITIND,PIDILITIND,1380,10,1370,TRUE,1
49,SHREECEM,SHREECEM,190,0,190,TRUE,0
50,NTPC,NTPC,120,0,120,TRUE,0
51,GODREJCP,GODREJCP,610,0,610,TRUE,0
52,HINDZINC,HINDZINC,210,0,210,TRUE,0
53,BPCL,BPCL,340,10,330,TRUE,3
54,HDFCLIFE,HDFCLIFE,530,0,530,TRUE,0
55,BANKBARODA,BANKBARODA,90,-10,100,TRUE,-10
56,ONGC,ONGC,120,0,120,TRUE,0
57,MCDOWELL-N,MCDOWELL-N,590,10,580,TRUE,2
58,GAIL,GAIL,130,0,130,TRUE,0
59,EICHERMOT,EICHERMOT,160,0,160,TRUE,0
60,HINDUNILVR,HINDUNILVR,1880,10,1870,TRUE,1
61,DRREDDY,DRREDDY,270,10,260,TRUE,4
62,TECHM,TECHM,640,50,590,TRUE,8
63,BHARTIARTL,BHARTIARTL,360,0,360,TRUE,0
64,COLPAL,COLPAL,1200,-20,1220,TRUE,-2
65,TCS,TCS,2070,-180,2250,TRUE,-8
66,HAVELLS,HAVELLS,650,-20,670,TRUE,-3
67,SBILIFE,SBILIFE,830,-10,840,TRUE,-1
68,SRTRANSFIN,SRTRANSFIN,1020,-20,1040,TRUE,-2
69,ASIANPAINT,ASIANPAINT,1590,0,1590,TRUE,0
70,HCLTECH,HCLTECH,1090,0,1090,TRUE,0
71,CONCOR,CONCOR,490,0,490,TRUE,0
72,BAJAJHLDNG,BAJAJHLDNG,330,0,330,TRUE,0
73,COALINDIA,COALINDIA,190,0,190,TRUE,0
74,INFY,INFY,800,0,800,TRUE,0
75,CIPLA,CIPLA,470,0,470,TRUE,0
76,OFSS,OFSS,300,0,300,TRUE,0
77,POWERGRID,POWERGRID,200,0,200,TRUE,0
78,NHPC,NHPC,25,5,20,TRUE,25
79,UPL,UPL,550,0,550,TRUE,0
80,TATAMTRDVR,TATAMTRDVR,50,-10,60,TRUE,-17
81,CADILAHC,CADILAHC,220,0,220,TRUE,0
82,BAJAJ-AUTO,BAJAJ-AUTO,2740,140,2600,TRUE,5
83,PAGEIND,PAGEIND,1810,-20,1830,TRUE,-1
84,MARUTI,MARUTI,620,-30,650,TRUE,-5
85,TATAMOTORS,TATAMOTORS,110,-10,120,TRUE,-8
86,MARICO,MARICO,380,0,380,TRUE,0
87,MOTHERSUMI,MOTHERSUMI,90,-10,100,TRUE,-10
88,NMDC,NMDC,80,0,80,TRUE,0
89,INFRATEL,INFRATEL,250,0,250,TRUE,0
90,HINDALCO,HINDALCO,180,0,180,TRUE,0
91,RELIANCE,RELIANCE,1270,-20,1290,TRUE,-2
92,WIPRO,WIPRO,250,0,250,TRUE,0
93,BIOCON,BIOCON,220,-10,230,TRUE,-4
94,AUROPHARMA,AUROPHARMA,590,-20,610,TRUE,-3
95,SUNPHARMA,SUNPHARMA,420,-10,430,TRUE,-2
96,HEROMOTOCO,HEROMOTOCO,190,-110,300,TRUE,-37
97,TATASTEEL,TATASTEEL,320,-30,350,TRUE,-9
98,VEDL,VEDL,130,-10,140,TRUE,-7
99,IDEA,IDEA,70,10,60,TRUE,17
100,JSWSTEEL,JSWSTEEL,210,-10,220,TRUE,-5
101,PGHH,PGHH,990,-20,1010,TRUE,-2
