id,name,ticker,currentprice,change,lastprice,updated,percent
1,L&TFH,L&TFH,190,90,100,TRUE,90
2,PEL,PEL,2160,40,2120,TRUE,2
3,ADANIPORTS,ADANIPORTS,325,5,320,TRUE,2
4,HINDPETRO,HINDPETRO,300,-10,310,TRUE,-3
5,HDFC,HDFC,2910,220,2690,TRUE,8
6,BAJFINANCE,BAJFINANCE,370,-20,390,TRUE,-5
7,YESBANK,YESBANK,20,-40,60,TRUE,-67
8,ULTRACEMCO,ULTRACEMCO,340,-30,370,TRUE,-8
9,ASHOKLEY,ASHOKLEY,60,-10,70,TRUE,-14
10,DLF,DLF,190,30,160,TRUE,19
11,ICICIBANK,ICICIBANK,520,50,470,TRUE,11
12,HDFCBANK,HDFCBANK,3300,190,3110,TRUE,6
13,BAJAJFINSV,BAJAJFINSV,740,-30,770,TRUE,-4
14,BHEL,BHEL,80,20,60,TRUE,33
15,LT,LT,1310,-30,1340,TRUE,-2
16,DMART,DMART,1960,-150,2110,TRUE,-7
17,ABB,ABB,1270,-50,1320,TRUE,-4
18,ZEEL,ZEEL,430,-40,470,TRUE,-9
19,ICICIPRULI,ICICIPRULI,300,-50,350,TRUE,-14
20,IBULHSGFIN,IBULHSGFIN,620,20,600,TRUE,3
21,BOSCHLTD,BOSCHLTD,1260,-50,1310,TRUE,-4
22,UBL,UBL,1780,100,1680,TRUE,6
23,DIVISLAB,DIVISLAB,1930,40,1890,TRUE,2
24,HDFCAMC,HDFCAMC,2740,180,2560,TRUE,7
25,SBIN,SBIN,210,0,210,TRUE,0
26,KOTAKBANK,KOTAKBANK,1700,110,1590,TRUE,7
27,PETRONET,PETRONET,330,0,330,TRUE,0
28,AXISBANK,AXISBANK,630,10,620,TRUE,2
29,AMBUJACEM,AMBUJACEM,210,0,210,TRUE,0
30,NIACL,NIACL,140,0,140,TRUE,0
31,TITAN,TITAN,1410,80,1330,TRUE,6
32,ITC,ITC,380,20,360,TRUE,6
33,INDUSINDBK,INDUSINDBK,1450,110,1340,TRUE,8
34,BRITANNIA,BRITANNIA,320,10,310,TRUE,3
35,IOC,IOC,150,0,150,TRUE,0
36,SIEMENS,SIEMENS,1600,30,1570,TRUE,2
37,INDIGO,INDIGO,1680,60,1620,TRUE,4
38,DABUR,DABUR,470,0,470,TRUE,0
39,ICICIGI,ICICIGI,1090,-120,1210,TRUE,-10
40,BANDHANBNK,BANDHANBNK,400,10,390,TRUE,3
41,GRASIM,GRASIM,630,-30,660,TRUE,-5
42,GICRE,GICRE,130,0,130,TRUE,0
43,LUPIN,LUPIN,820,-20,840,TRUE,-2
44,MRF,MRF,750,0,750,TRUE,0
45,ACC,ACC,1490,-130,1620,TRUE,-8
46,SAIL,SAIL,10,0,10,TRUE,0
47,M&M,M&M,670,40,630,TRUE,6
48,PIDILITIND,PIDILITIND,1370,30,1340,TRUE,2
49,SHREECEM,SHREECEM,190,0,190,TRUE,0
50,NTPC,NTPC,130,0,130,TRUE,0
51,GODREJCP,GODREJCP,660,-10,670,TRUE,-1
52,HINDZINC,HINDZINC,250,-10,260,TRUE,-4
53,BPCL,BPCL,410,20,390,TRUE,5
54,HDFCLIFE,HDFCLIFE,410,10,400,TRUE,3
55,BANKBARODA,BANKBARODA,150,0,150,TRUE,0
56,ONGC,ONGC,150,10,140,TRUE,7
57,MCDOWELL-N,MCDOWELL-N,660,-30,690,TRUE,-4
58,GAIL,GAIL,120,0,120,TRUE,0
59,EICHERMOT,EICHERMOT,150,0,150,TRUE,0
60,HINDUNILVR,HINDUNILVR,2120,-130,2250,TRUE,-6
61,DRREDDY,DRREDDY,350,10,340,TRUE,3
62,TECHM,TECHM,760,0,760,TRUE,0
63,BHARTIARTL,BHARTIARTL,290,-30,320,TRUE,-9
64,COLPAL,COLPAL,1330,50,1280,TRUE,4
65,TCS,TCS,2960,60,2900,TRUE,2
66,HAVELLS,HAVELLS,580,-20,600,TRUE,-3
67,SBILIFE,SBILIFE,900,0,900,TRUE,0
68,SRTRANSFIN,SRTRANSFIN,930,0,930,TRUE,0
69,ASIANPAINT,ASIANPAINT,1660,20,1640,TRUE,1
70,HCLTECH,HCLTECH,910,20,890,TRUE,2
71,CONCOR,CONCOR,350,20,330,TRUE,6
72,BAJAJHLDNG,BAJAJHLDNG,360,10,350,TRUE,3
73,COALINDIA,COALINDIA,220,20,200,TRUE,10
74,INFY,INFY,890,70,820,TRUE,9
75,CIPLA,CIPLA,550,0,550,TRUE,0
76,OFSS,OFSS,360,-10,370,TRUE,-3
77,POWERGRID,POWERGRID,210,10,200,TRUE,5
78,NHPC,NHPC,40,0,40,TRUE,0
79,UPL,UPL,470,-50,520,TRUE,-10
80,TATAMTRDVR,TATAMTRDVR,50,5,45,TRUE,11
81,CADILAHC,CADILAHC,190,0,190,TRUE,0
