id,name,ticker,currentprice,change,lastprice,percent,updated
1,L&TFH,L&TFH,90,-15,105,-14,TRUE
2,PEL,PEL,1700,-50,1750,-3,TRUE
3,ADANIPORTS,ADANIPORTS,300,-20,320,-6,TRUE
4,HINDPETRO,HINDPETRO,300,10,290,3,TRUE
5,HDFC,HDFC,2440,50,2390,2,TRUE
6,BAJFINANCE,BAJFINANCE,370,0,370,0,TRUE
7,YESBANK,YESBANK,50,-10,60,-17,TRUE
8,ULTRACEMCO,ULTRACEMCO,410,-10,420,-2,TRUE
9,ASHOKLEY,ASHOKLEY,80,0,80,0,TRUE
10,DLF,DLF,170,10,160,6,TRUE
11,ICICIBANK,ICICIBANK,420,-10,430,-2,TRUE
12,HDFCBANK,HDFCBANK,2720,150,2570,6,TRUE
13,BAJAJFINSV,BAJAJFINSV,660,0,660,0,TRUE
14,BHEL,BHEL,50,-10,60,-17,TRUE
15,LT,LT,1450,-30,1480,-2,TRUE
16,DMART,DMART,1390,-90,1480,-6,TRUE
17,ABB,ABB,1520,30,1490,2,TRUE
18,ZEEL,ZEEL,420,30,390,8,TRUE
19,ICICIPRULI,ICICIPRULI,370,0,370,0,TRUE
20,IBULHSGFIN,IBULHSGFIN,450,200,250,80,TRUE
21,BOSCHLTD,BOSCHLTD,1290,-110,1400,-8,TRUE
22,UBL,UBL,1400,-60,1460,-4,TRUE
23,DIVISLAB,DIVISLAB,1650,30,1620,2,TRUE
24,HDFCAMC,HDFCAMC,2450,540,1910,28,TRUE
25,SBIN,SBIN,290,10,280,4,TRUE
26,KOTAKBANK,KOTAKBANK,1400,140,1260,11,TRUE
27,PETRONET,PETRONET,200,-70,270,-26,TRUE
28,AXISBANK,AXISBANK,660,-80,740,-11,TRUE
29,AMBUJACEM,AMBUJACEM,200,0,200,0,TRUE
30,NIACL,NIACL,120,10,110,9,TRUE
31,TITAN,TITAN,1210,0,1210,0,TRUE
32,ITC,ITC,300,50,250,20,TRUE
33,INDUSINDBK,INDUSINDBK,1200,10,1190,1,TRUE
34,BRITANNIA,BRITANNIA,250,-10,260,-4,TRUE
35,IOC,IOC,120,0,120,0,TRUE
36,SIEMENS,SIEMENS,1370,30,1340,2,TRUE
37,INDIGO,INDIGO,1790,90,1700,5,TRUE
38,DABUR,DABUR,420,-100,520,-19,TRUE
39,ICICIGI,ICICIGI,1120,80,1040,8,TRUE
40,BANDHANBNK,BANDHANBNK,530,20,510,4,TRUE
41,GRASIM,GRASIM,700,20,680,3,TRUE
42,GICRE,GICRE,100,-50,150,-33,TRUE
43,LUPIN,LUPIN,990,100,890,11,TRUE
44,MRF,MRF,750,30,720,4,TRUE
45,ACC,ACC,1520,50,1470,3,TRUE
46,SAIL,SAIL,30,0,30,0,TRUE
47,M&M,M&M,700,10,690,1,TRUE
48,PIDILITIND,PIDILITIND,1420,30,1390,2,TRUE
49,SHREECEM,SHREECEM,190,-20,210,-10,TRUE
50,NTPC,NTPC,120,0,120,0,TRUE
51,GODREJCP,GODREJCP,530,10,520,2,TRUE
52,HINDZINC,HINDZINC,220,0,220,0,TRUE
53,BPCL,BPCL,400,40,360,11,TRUE
54,HDFCLIFE,HDFCLIFE,500,-30,530,-6,TRUE
55,BANKBARODA,BANKBARODA,120,0,120,0,TRUE
56,ONGC,ONGC,120,0,120,0,TRUE
57,MCDOWELL-N,MCDOWELL-N,630,-20,650,-3,TRUE
58,GAIL,GAIL,120,0,120,0,TRUE
59,EICHERMOT,EICHERMOT,160,10,150,7,TRUE
60,HINDUNILVR,HINDUNILVR,2290,110,2180,5,TRUE
61,DRREDDY,DRREDDY,280,20,260,8,TRUE
62,TECHM,TECHM,730,0,730,0,TRUE
63,BHARTIARTL,BHARTIARTL,370,50,320,16,TRUE
64,COLPAL,COLPAL,1230,30,1200,3,TRUE
65,TCS,TCS,2460,50,2410,2,TRUE
66,HAVELLS,HAVELLS,620,10,610,2,TRUE
67,SBILIFE,SBILIFE,920,0,920,0,TRUE
68,SRTRANSFIN,SRTRANSFIN,1000,20,980,2,TRUE
69,ASIANPAINT,ASIANPAINT,1220,-330,1550,-21,TRUE
70,HCLTECH,HCLTECH,1120,-20,1140,-2,TRUE
71,CONCOR,CONCOR,540,120,420,29,TRUE
72,BAJAJHLDNG,BAJAJHLDNG,350,20,330,6,TRUE
73,COALINDIA,COALINDIA,180,0,180,0,TRUE
74,INFY,INFY,620,30,590,5,TRUE
75,CIPLA,CIPLA,550,10,540,2,TRUE
76,OFSS,OFSS,360,10,350,3,TRUE
77,POWERGRID,POWERGRID,190,10,180,6,TRUE
78,NHPC,NHPC,30,0,30,0,TRUE
79,UPL,UPL,610,-20,630,-3,TRUE
80,TATAMTRDVR,TATAMTRDVR,70,-15,85,-18,TRUE
81,CADILAHC,CADILAHC,210,-20,230,-9,TRUE
82,BAJAJ-AUTO,BAJAJ-AUTO,2020,-110,2130,-5,TRUE
83,PAGEIND,PAGEIND,1720,80,1640,5,TRUE
84,MARUTI,MARUTI,730,0,730,0,TRUE
85,TATAMOTORS,TATAMOTORS,130,10,120,8,TRUE
86,MARICO,MARICO,410,20,390,5,TRUE
